ï»¿Time,Time Code,Country Name,Country Code,GDP per unit of energy use (PPP $ per kg of oil equivalent) [EG.GDP.PUSE.KO.PP],GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent) [EG.GDP.PUSE.KO.PP.KD],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS],"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP) [EG.USE.COMM.GD.PP.KD]",Combustible renewables and waste (% of total energy) [EG.USE.CRNW.ZS],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Pump price for diesel fuel (US$ per liter) [EP.PMP.DESL.CD],Pump price for gasoline (US$ per liter) [EP.PMP.SGAS.CD],Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Fuel exports (% of merchandise exports) [TX.VAL.FUEL.ZS.UN],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS]
2006,YR2006,Afghanistan,AFG,..,..,..,..,..,..,..,0.65,0.68,0.061334156,..,0
2006,YR2006,Albania,ALB,10.25835647,10.8456165,40.90913939,22.75383902,92.20314957,11.14834271,689.3004521,1.29,1.44,0.025814153,13.68709309,1.99849027
2006,YR2006,Algeria,DZA,11.0979409,12.09258408,-375.9038856,0.054094839,82.69531089,0.1859676,1026.91378,0.19,0.32,17.90748215,97.90890757,30.60931544
2006,YR2006,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
2006,YR2006,Andorra,ADO,..,..,..,..,..,..,..,..,..,0,0.00077425,0
2006,YR2006,Angola,AGO,..,..,-698.6533937,2.280159459,..,68.58768203,542.1086692,0.36,0.5,0.323567914,..,65.33798465
2006,YR2006,Antigua and Barbuda,ATG,12.86495763,14.01796812,..,..,71.33701484,..,1713.251944,0.85,0.97,0,..,0
2006,YR2006,Argentina,ARG,..,..,-18.06010557,7.237934728,..,3.821057741,1841.985806,0.48,0.62,3.777696629,15.40737468,5.116632575
2006,YR2006,Armenia,ARM,6.484126141,7.065260236,66.45050594,33.0240484,141.5376032,0.525445656,852.2494297,0.77,0.96,0,2.074116413,0
2006,YR2006,Aruba,ABW,..,..,..,..,..,..,..,..,..,0,..,0
