"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.8152084350586","76.807746887207","72.4237823486328","76.7960662841797","72.3600692749023","73.4449081420898","75.1145935058594","","80.5171127319336","74.4824905395508","77.7142105102539","","76.9362335205078","","","","",
"Andorra","AND","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","8.36696","","","","","","","","","","","","","","","","","","","15.05704","","","","","","","","","","","","","","27.0240592956543","","","","","","46.8251991271973","","",
"Angola","AGO","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","4.50474","","","","","","","","","","6.2152","","","","","","","","","","","","","","","","","","","","","","","","","","10.9697198867798","11.512490272522","13.4640398025513","","","","","",
"Albania","ALB","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.562931060791","65.1214294433594","","","","","","","","","","","","","","",
"Arab World","ARB","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","20.6574478149414","20.6034507751465","21.0964603424072","22.3977184295654","22.8823184967041","24.15185546875","25.6051025390625","27.4630031585693","29.2737884521484","30.7158012390137","31.8551006317139","32.3839149475098","33.9306182861328","35.1332511901855","36.4374542236328","37.9231910705566","39.7524147033691","40.9150848388672","41.4288635253906","42.1119003295898","44.5762748718262","44.736083984375","43.8374633789063","44.512565612793","46.3768577575684","46.4786758422852","46.583911895752","47.8103141784668","49.2511253356934","50.731990814209","52.047924041748","53.5257263183594","54.6240501403809","56.6315002441406","58.3873329162598","58.4383239746094","58.2632827758789","57.4378929138184","58.1965789794922","60.0118789672852","61.0954933166504","63.3350639343262","64.4833297729492","63.1012191772461","","",
"United Arab Emirates","ARE","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","26.92308","","37.75134","","","","","","","","","","","58.96221","61.26775","65.16448","70.38714","73.85894","","71.23514","71.2471","75.6743927001953","","","","","","","","","","","","","","","","",
"Argentina","ARG","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","40.17394","41.70172","","","","","","","","","","","","","","","","","","","","","","","74.54849","","","","","","","","","","","82.2323684692383","83.5764389038086","85.1244125366211","89.0581207275391","","","",
"Armenia","ARM","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.6031265258789","87.9384307861328","90.1406784057617","84.0251693725586","89.0612869262695","","","","","","",
"American Samoa","ASM","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.1070098876953","","","","","","","","","86.5043106079102","85.5577926635742","","90.9228134155273","","","",
"Australia","AUS","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.88594","86.87263","86.98716","88.24302","","","","","","87.4255218505859","85.8735809326172","85.6807098388672","84.5328521728516","83.8815612792969","83.7843475341797","83.963508605957","84.9604110717773","85.1826400756836","85.6112899780273","85.2706909179688","85.6793518066406","","",
"Austria","AUT","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","68.43046","68.50915","","67.99642","69.76705","69.85997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.0153732299805","85.679069519043","86.8101577758789","86.7987670898438","86.0273818969727","86.0742492675781","86.8079223632813","","","",
"Burundi","BDI","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","2.07553","2.10289","","","2.18171","","2.56096","2.39672","2.47686","2.6868","2.90475","3.20049","","","","","","4.95871","","","","","","","","","","","","","","","","13.0027904510498","15.0834703445435","16.7831001281738","18.2816696166992","21.2105598449707","","",
"Belgium","BEL","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","77.45255","","","","","","","","","","","","","","","","96.36577","98.01863","98.80305","97.22319","","","","","","","","85.8391799926758","85.6688995361328","","","","","","","","96.3522186279297","","",
"Benin","BEN","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2582206726074","18.6456909179688","","","","","","","","","","","","42.029899597168","","",
"Burkina Faso","BFA","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","2.46756","","2.99355","3.50964","","","5.27344","","","6.67478","6.86091","6.86524","","","","","8.63877010345459","","7.98013019561768","","9.48538970947266","10.5530595779419","11.3938398361206","12.2103996276855","12.9215097427368","14.7751703262329","15.8235301971436","16.4768009185791","18.4462394714355","19.7371692657471","21.6708698272705","","",
"Bangladesh","BGD","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","16.11397","14.21026","","","","15.70224","","19.00256","","","","18.99294","","","","","","","","","","","40.31217","43.3182182312012","44.6137390136719","45.8288192749023","46.9101905822754","46.6681213378906","43.4304885864258","42.1296997070313","42.780891418457","43.5959014892578","","44.6494789123535","46.0370597839355","45.8151512145996","47.7493209838867","","","",
"Bulgaria","BGR","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.73743","84.58134","84.6049","85.1705017089844","86.2400512695313","87.0200881958008","87.6171569824219","85.0533599853516","86.4294891357422","87.0788879394531","86.6532287597656","86.3010406494141","85.3077697753906","84.1707229614258","84.1538009643555","85.2456436157227","85.2855529785156","87.6176910400391","","",
"Bahrain","BHR","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","44.4714","47.27457","50.75408","","","58.73478","69.90146","67.11283","72.65131","76.87449","73.89147","","75.85523","","","84.79094","","90.62883","92.00038","","86.03084","86.80245","86.7207870483398","90.3986968994141","90.6827774047852","85.0029602050781","84.0277786254883","85.3644104003906","86.9251937866211","87.3805389404297","","84.958251953125","86.5799179077148","89.4379272460938","93.2279510498047","","","","",
"Bahamas, The","BHS","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","90.39679","","","90.4494","","","","","","","","89.13072","89.39506","85.76996","","","","","70.8266525268555","","","","","79.6962585449219","83.0531616210938","85.1415100097656","87.5494613647461","86.4004364013672","84.2583465576172","82.8862075805664","","","","","",
